Runtimes (seconds)
k	runtime_seconds
2	65.513
3	112.277
4	105.512
5	110.163
6	108.801
7	113.468
8	111.176
9	109.458
10	109.316
11	107.897
12	108.682

Average distance to centroid
k	avg_distance
2	1.024520
3	0.981656
4	0.938152
5	0.893006
6	0.858193
7	0.798106
8	0.756767
9	0.726214
10	0.697245
11	0.675176
12	0.651296

Anomaly threshold and fraction
k	threshold	fraction_percent
2	16.386345	0.00
3	16.127876	0.00
60130631306	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_6.csv	3	24.253661	0.040436	0.24857	4.9304
60130631303	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_6.csv	1	23.574089	0.0074768	-0.22537	4.9292
42950982743	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_104.csv	3	23.037523	0.28778	-0.016479	0.062256
60130995085	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_37.csv	3	22.839076	0.013733	0.23483	0.068359
42950982742	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_104.csv	3	21.880434	0.2713	-0.030212	0.057373
60130483234	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_68.csv	0	21.782166	0.050201	-0.20752	0.046387
42950880300	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_104.csv	3	21.023060	0.26794	0.0090027	0.043945
60130631299	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_6.csv	3	20.852663	0.01297	0.21561	4.939
60130580611	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_68.csv	2	20.712898	-0.011749	-0.19684	4.9109
42950982744	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_104.csv	3	20.651997	0.26199	-0.0080872	0.058594
60130548035	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_68.csv	3	20.620270	0.036316	0.21408	0.037842
60130580619	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_68.csv	2	20.503527	-0.016632	-0.1947	4.906
42950902569	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_104.csv	3	20.455041	0.26123	0.0045776	0.041504
42950911483	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_104.csv	3	20.416884	0.24307	-0.058441	0.063477
60130631295	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_6.csv	1	20.352564	0.0022888	-0.19424	4.9353
42950933752	file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_104.csv	3	20.330567	0.24796	-0.045319	0.047607
